"","meanearly","meanlate","sdearly","sdlate","p_value"
"WLS",10.5215557728707,10.0482680097087,0.876283812359668,1.04761155491137,1.32629316465807e-07
"FEZ2",9.95503637223975,9.79981509708738,0.386216965932953,0.492336914590039,0.000154141291485351
"NT5DC1",9.57754138801262,9.42408844660194,0.559864638013006,0.539925321563888,0.00186336257713163
"TRUB1",9.00813416403786,8.83978116504854,0.58604436497963,0.527967385594337,0.000704183428800154
"CXCL2",6.31001402208202,6.74937597087379,1.79984671851478,1.93852993197266,0.00953629079447072
"MSL3",8.99178851735016,9.08538606796117,0.357200323387113,0.404589151390642,0.00711945859498338
"ILF2",11.1652513249211,11.2814946601942,0.372428347640304,0.409111960012178,0.00109709197000299
"SNRPB2",9.86463652996845,9.96921213592233,0.349850477456482,0.361858703579714,0.00115614145055792
"SNX8",8.46335504731861,8.58946563106796,0.588282382878713,0.590422658404473,0.0172654442849879
"ZNF136",7.97489958990536,7.76304461165049,0.436169433415178,0.427410422245975,6.62664156885509e-08
"PSMA5",10.0282230283912,10.2608067475728,0.427920870299952,0.440865662870393,5.17141142458513e-09
"TINAG",8.6393082807571,7.95731910194175,2.26544441419975,2.34664335046337,0.00107805089676136
"UPK2",1.41433817981073,1.72717934466019,0.998512039379134,1.08817143388159,0.000989633016483244
"SETD3",11.2373996214511,11.0073431553398,0.489904665352386,0.504852157778787,3.95030559395199e-07
"POMGNT1",10.7858651735016,10.8965703883495,0.46905025869585,0.481420825263014,0.00976566818945799
"DOK2",7.43981921135647,7.77727572815534,1.02814253788713,0.900173337339417,8.69822254921284e-05
"MIIP",7.48962716088328,7.86336024271845,0.774731597345875,0.747876594253774,6.21081202360012e-08
"SIGLEC16",3.26542900946372,3.47706345631068,1.00747347873488,1.20383352159316,0.0371231614885404
"THAP10",6.26736148264984,6.08807033980583,0.480647904578767,0.465299278333776,2.6035098630481e-05
"AKAP5",5.98639823343849,6.29053631067961,1.00257318207935,1.09731333626248,0.00146601642116313
"DOHH",7.87870776025237,7.99912776699029,0.754782326516217,0.633555491628437,0.0496809341374924
"ITGBL1",6.87663012618296,7.30466765048544,1.84541173777807,1.90718910292168,0.0114404711672528
"DOK1",8.16437315457413,8.3928967961165,0.662581644266675,0.589682244402308,4.42703357096874e-05
"ACVR2A",8.45217652996845,8.22730446601942,0.419688227911404,0.463219558550651,3.42476900618266e-08
"LOC100009676",6.26888353312303,6.37047053398058,0.52221883705233,0.548542930335164,0.0355632612364832
"LPPR4",4.57384793375394,5.18632593203883,1.55721298322317,1.72430697942378,4.56384987792749e-05
"BTBD8",3.14818446056782,2.77801308252427,1.27474225775129,1.19563129087822,0.000815325089331381
"ZBTB17",8.62309283911672,8.76711291262136,0.585997830521119,0.625129571815559,0.00864824611398643
"SNX2",10.9842282018927,10.7971248058252,0.455898325482871,0.476574285726085,1.04084709655757e-05
"GPR182",2.31724505993691,1.91498824757282,1.28075819993185,1.08109436427205,0.000127601466066752
"TIPRL",9.61492577287066,9.69510830097087,0.367765159748871,0.339709165969128,0.0110184597209649
"MLLT4",11.1412870031546,10.9906978640777,0.603771000992436,0.643916624013753,0.00770508130420913
"APH1B",9.01335608832808,8.82435427184466,0.537320715614354,0.545413855466501,0.000113789442699196
"SH3BP1",7.64174110410095,8.0318077184466,0.904329919951073,0.884518776247171,1.45016366119606e-06
"DNHD1",7.11234347003155,7.37033121359223,1.20486335170386,1.40830929162768,0.031038952737038
"SMPD4",10.275538044164,10.5042758252427,0.419416418072414,0.446072071500481,9.10946015623516e-09
"FAM53A",3.79313192429022,4.06422446601942,0.801545605516732,0.974213555656978,0.000959466487360823
"ZNF568",6.84464750788644,6.53527305825243,0.69094252140984,0.756194020810872,3.1255594693369e-06
"CYB5R3",13.1884178548896,13.3160388349515,0.585579144621491,0.619250799144084,0.0191131763591132
"PUM1",11.0212198422713,10.9680447572816,0.325393381848685,0.282912947187869,0.0484765774448312
"LRRC29",6.62475268138801,6.8261559223301,0.730737706742824,0.802702589409524,0.00389292477450533
"ANO4",6.51296102839117,5.65583916990291,2.0647874352311,2.23263394619707,1.27665196342923e-05
"SPANXN3",0.0920716498422713,0.278137048543689,0.310694703733455,0.716214406937385,0.000511318597939066
"TBX4",1.33685919242902,1.54910103883495,0.970047453369055,1.02828904347284,0.0188292487285214
"FAM83A",0.724470596214511,1.12145950485437,1.11947800078484,1.56893497186463,0.00178950623899833
"TGFBR2",12.6370849526814,12.1707131553398,0.836618613104441,0.862124768669483,2.17197023892938e-09
"WWC2",10.2876206309148,10.0618962135922,0.588936765173493,0.596676663135055,2.63195196064869e-05
"ZNF83",10.2849376340694,10.6400608737864,0.81388588574813,1.03101648710917,3.79513864010657e-05
"BCL7C",9.16647154574133,9.37792946601942,0.825930178348498,0.720651513993198,0.00209502294076535
"LCTL",0.79325005362776,1.05641455825243,0.751764361233932,1.11392623652962,0.0031134605671425
"CDADC1",8.00945028391167,7.6933604368932,0.452521480707971,0.536415722404039,1.19176044902073e-11
"C5orf34",4.52659009463722,4.71556995145631,0.668876691590813,0.772433910458268,0.00420318770587317
"UBL3",10.5180700946372,10.2402970873786,0.754810273036843,0.620517159947672,5.69836175121668e-06
"NR1H2",10.7655385173502,10.9093552912621,0.513959283519456,0.532545387802688,0.0023589049236894
"APPBP2",10.0770239747634,9.91764509708738,0.453322225888809,0.436440764261331,6.86209374688202e-05
"PEX1",9.07295075709779,8.80575961165049,0.547925101097509,0.668446605829311,2.44265301111842e-06
"CSRP1",11.8533310094637,12.0150580582524,0.705757057094615,0.688304393522628,0.00964962408383604
"CASP2",9.63093097791798,9.73051859223301,0.390059070345571,0.366392422235596,0.00323184833314641
"OR1I1",0.0188139305993691,0.0606067912621359,0.111489763139124,0.285256304162089,0.0459912887860653
"C7orf30",8.59444255520505,8.71935873786408,0.468955762145496,0.379055698575802,0.000872625544999387
"C11orf63",6.76561154574132,6.60484,0.928824458644922,0.848113791496654,0.041951607218206
"KLK9",0.0766597886435331,0.180671669902913,0.389822300763589,0.557535461084215,0.0202631594965755
"CERK",10.1888162776025,10.0535133009709,0.665435998433671,0.608465578132786,0.0170584930937432
"TGFB3",8.52712810725552,8.76951800970874,0.898149703782523,1.04649453886187,0.00654471824503183
"TRIB3",9.46735495268139,10.2888759708738,1.39694957170104,1.36403003404019,7.78992598149362e-11
"TDRD6",4.13003907570978,3.8415891407767,1.08873717298179,1.31839526810696,0.00930663604035402
"ATP5J2",10.2505414195584,10.4650762135922,0.893374514468294,0.762367989231008,0.00348243045243665
"TUBA8",6.21778277602524,6.67439048543689,1.14484015612672,1.24134885546869,2.79928228658882e-05
"MRC2",9.6529985488959,10.1993186893204,1.17384853029096,1.2005135504355,4.39821700927914e-07
"WNT10A",3.92454336277603,4.49473963592233,1.59723084087237,1.52649140188381,4.93856412741824e-05
"ROMO1",9.22556791798107,9.54095805825243,0.97887500228001,0.835722772525771,9.41086678782957e-05
"SEC22B",10.4799462460568,10.5447381553398,0.31598513068001,0.373791609503366,0.0404672746283775
"UTP6",9.33580321766562,9.45784019417476,0.328490773004521,0.334438192207157,4.81351746868555e-05
"CCR6",6.50106312302839,6.96887131067961,1.43003747945707,1.49296013981611,0.000413326805661289
"C14orf37",5.78672876971609,5.46857111650485,1.25060136341472,1.24682744565566,0.00460700535070162
"CRLF3",8.45720309148265,8.63652422330097,0.550423855093723,0.487450220686128,0.000108072737702394
"LOC100272146",5.0440181955836,5.49212058252427,0.941005845122069,1.06236422886749,1.22572036913314e-06
"LDHB",13.1410930599369,13.0254856796117,0.638390267586491,0.582003304199215,0.0332177705849004
"IL24",1.75733763722397,1.95908359223301,0.817678169814924,0.883547342784908,0.00893963559868273
"SPRYD4",8.63964365930599,8.51788339805825,0.501890716651163,0.446916870539463,0.00391910014003302
"FAM108B1",8.53758476340694,8.37791097087379,0.514423549244001,0.508818018239239,0.000528911170866448
"SMARCD1",10.3072061829653,10.4853324757282,0.303812783447856,0.356497801326216,7.45575699050098e-09
"RFFL",9.43672072555205,9.54613898058252,0.453588999599876,0.485217652033906,0.0100819930720348
"WBP11",10.7165649526814,10.6489431067961,0.341017152055381,0.346674995258697,0.0287929911892341
"FAM66E",0.962364463722397,0.744749485436893,0.786954068397247,0.69821065325014,0.00100111459292526
"C7orf61",2.0893304637224,2.62837913106796,0.894805009020541,1.03699198045038,2.21017100051033e-09
"KIF16B",9.08452861198738,8.82762402912621,0.54305222641813,0.651128186844341,3.64695792562815e-06
"C22orf29",8.25649747634069,8.17488427184466,0.450024884048906,0.450713306701996,0.0435180494502658
"PITX1",1.74418785804416,3.17877693203884,2.0019360934599,2.71650912510419,2.53387647005348e-10
"TG",4.18281246056782,4.50517077669903,1.28856660709876,1.39272669099194,0.00804823661369847
"PCDHGA9",6.48985545741325,6.09836908737864,1.8936096399124,1.76949006184385,0.0165952452540599
"LGALS9C",3.72608889274448,4.11537553398058,0.944914843484322,0.969287577684316,7.57226169501132e-06
"ERCC6L",3.96177684542587,4.48055315533981,0.784939915755963,1.05675236720733,3.83469456798615e-09
"SC5DL",9.79970287066246,9.51423747572816,0.841550854396267,0.612712613412334,9.12038764507121e-06
"NLN",8.22248138801262,7.9175877184466,0.826628322470318,1.02243493354244,0.000380943887103268
"TMEM38A",5.66242028391167,4.93511412621359,1.53131931879356,1.20805994328054,2.93949032979571e-09
"PCDH1",10.145860977918,9.8579036407767,0.894665007110888,0.885341949717513,0.000329604787858051
"FTCD",7.27575729652997,6.16780769902913,3.01123456423824,3.26077194225349,0.00010707592500354
"FASTKD2",9.83709798107255,9.69411995145631,0.353045815372793,0.382012849249479,2.06258517233816e-05
"CRADD",8.08648201892744,7.92411179611651,0.563003239416979,0.650809590970131,0.0035073413070092
"RXFP1",4.78391363722398,4.5074923592233,1.3590461833297,1.5643078740279,0.0384129454367292
"HLA.DPA1",13.528278170347,13.7282266990291,1.03463462742929,1.04180717555591,0.0320726447802791
"IFNB1",0.189062738170347,0.337599097087379,0.34752202905336,0.466093729267481,0.000106384858257452
"EVX1",0.33007019873817,0.52212486407767,0.564423956107779,0.793883186585184,0.0027865548708233
